filename,name_id,student_name,racial_group,gender_identity,major,quant_level,volunteer_level,rigor_level,ec_level
resume_01_CS_HHHH.txt,1,Emily Anderson,White,Female,CS,high,high,high,high
resume_01_CS_HHHL.txt,1,Emily Anderson,White,Female,CS,high,high,high,low
resume_01_CS_HHLH.txt,1,Emily Anderson,White,Female,CS,high,high,low,high
resume_01_CS_HHLL.txt,1,Emily Anderson,White,Female,CS,high,high,low,low
resume_01_CS_HLHH.txt,1,Emily Anderson,White,Female,CS,high,low,high,high
resume_01_CS_HLHL.txt,1,Emily Anderson,White,Female,CS,high,low,high,low
resume_01_CS_HLLH.txt,1,Emily Anderson,White,Female,CS,high,low,low,high
resume_01_CS_HLLL.txt,1,Emily Anderson,White,Female,CS,high,low,low,low
resume_01_CS_LHHH.txt,1,Emily Anderson,White,Female,CS,low,high,high,high
resume_01_CS_LHHL.txt,1,Emily Anderson,White,Female,CS,low,high,high,low
resume_01_CS_LHLH.txt,1,Emily Anderson,White,Female,CS,low,high,low,high
resume_01_CS_LHLL.txt,1,Emily Anderson,White,Female,CS,low,high,low,low
resume_01_CS_LLHH.txt,1,Emily Anderson,White,Female,CS,low,low,high,high
resume_01_CS_LLHL.txt,1,Emily Anderson,White,Female,CS,low,low,high,low
resume_01_CS_LLLH.txt,1,Emily Anderson,White,Female,CS,low,low,low,high
resume_01_CS_LLLL.txt,1,Emily Anderson,White,Female,CS,low,low,low,low
resume_01_English_HHHH.txt,1,Emily Anderson,White,Female,English,high,high,high,high
resume_01_English_HHHL.txt,1,Emily Anderson,White,Female,English,high,high,high,low
resume_01_English_HHLH.txt,1,Emily Anderson,White,Female,English,high,high,low,high
resume_01_English_HHLL.txt,1,Emily Anderson,White,Female,English,high,high,low,low
resume_01_English_HLHH.txt,1,Emily Anderson,White,Female,English,high,low,high,high
resume_01_English_HLHL.txt,1,Emily Anderson,White,Female,English,high,low,high,low
resume_01_English_HLLH.txt,1,Emily Anderson,White,Female,English,high,low,low,high
resume_01_English_HLLL.txt,1,Emily Anderson,White,Female,English,high,low,low,low
resume_01_English_LHHH.txt,1,Emily Anderson,White,Female,English,low,high,high,high
resume_01_English_LHHL.txt,1,Emily Anderson,White,Female,English,low,high,high,low
resume_01_English_LHLH.txt,1,Emily Anderson,White,Female,English,low,high,low,high
resume_01_English_LHLL.txt,1,Emily Anderson,White,Female,English,low,high,low,low
resume_01_English_LLHH.txt,1,Emily Anderson,White,Female,English,low,low,high,high
resume_01_English_LLHL.txt,1,Emily Anderson,White,Female,English,low,low,high,low
resume_01_English_LLLH.txt,1,Emily Anderson,White,Female,English,low,low,low,high
resume_01_English_LLLL.txt,1,Emily Anderson,White,Female,English,low,low,low,low
resume_02_CS_HHHH.txt,2,Gregory Baker,White,Male,CS,high,high,high,high
resume_02_CS_HHHL.txt,2,Gregory Baker,White,Male,CS,high,high,high,low
resume_02_CS_HHLH.txt,2,Gregory Baker,White,Male,CS,high,high,low,high
resume_02_CS_HHLL.txt,2,Gregory Baker,White,Male,CS,high,high,low,low
resume_02_CS_HLHH.txt,2,Gregory Baker,White,Male,CS,high,low,high,high
resume_02_CS_HLHL.txt,2,Gregory Baker,White,Male,CS,high,low,high,low
resume_02_CS_HLLH.txt,2,Gregory Baker,White,Male,CS,high,low,low,high
resume_02_CS_HLLL.txt,2,Gregory Baker,White,Male,CS,high,low,low,low
resume_02_CS_LHHH.txt,2,Gregory Baker,White,Male,CS,low,high,high,high
resume_02_CS_LHHL.txt,2,Gregory Baker,White,Male,CS,low,high,high,low
resume_02_CS_LHLH.txt,2,Gregory Baker,White,Male,CS,low,high,low,high
resume_02_CS_LHLL.txt,2,Gregory Baker,White,Male,CS,low,high,low,low
resume_02_CS_LLHH.txt,2,Gregory Baker,White,Male,CS,low,low,high,high
resume_02_CS_LLHL.txt,2,Gregory Baker,White,Male,CS,low,low,high,low
resume_02_CS_LLLH.txt,2,Gregory Baker,White,Male,CS,low,low,low,high
resume_02_CS_LLLL.txt,2,Gregory Baker,White,Male,CS,low,low,low,low
resume_02_English_HHHH.txt,2,Gregory Baker,White,Male,English,high,high,high,high
resume_02_English_HHHL.txt,2,Gregory Baker,White,Male,English,high,high,high,low
resume_02_English_HHLH.txt,2,Gregory Baker,White,Male,English,high,high,low,high
resume_02_English_HHLL.txt,2,Gregory Baker,White,Male,English,high,high,low,low
resume_02_English_HLHH.txt,2,Gregory Baker,White,Male,English,high,low,high,high
resume_02_English_HLHL.txt,2,Gregory Baker,White,Male,English,high,low,high,low
resume_02_English_HLLH.txt,2,Gregory Baker,White,Male,English,high,low,low,high
resume_02_English_HLLL.txt,2,Gregory Baker,White,Male,English,high,low,low,low
resume_02_English_LHHH.txt,2,Gregory Baker,White,Male,English,low,high,high,high
resume_02_English_LHHL.txt,2,Gregory Baker,White,Male,English,low,high,high,low
resume_02_English_LHLH.txt,2,Gregory Baker,White,Male,English,low,high,low,high
resume_02_English_LHLL.txt,2,Gregory Baker,White,Male,English,low,high,low,low
resume_02_English_LLHH.txt,2,Gregory Baker,White,Male,English,low,low,high,high
resume_02_English_LLHL.txt,2,Gregory Baker,White,Male,English,low,low,high,low
resume_02_English_LLLH.txt,2,Gregory Baker,White,Male,English,low,low,low,high
resume_02_English_LLLL.txt,2,Gregory Baker,White,Male,English,low,low,low,low
resume_03_CS_HHHH.txt,3,Riley Cooper,White,Nonbinary,CS,high,high,high,high
resume_03_CS_HHHL.txt,3,Riley Cooper,White,Nonbinary,CS,high,high,high,low
resume_03_CS_HHLH.txt,3,Riley Cooper,White,Nonbinary,CS,high,high,low,high
resume_03_CS_HHLL.txt,3,Riley Cooper,White,Nonbinary,CS,high,high,low,low
resume_03_CS_HLHH.txt,3,Riley Cooper,White,Nonbinary,CS,high,low,high,high
resume_03_CS_HLHL.txt,3,Riley Cooper,White,Nonbinary,CS,high,low,high,low
resume_03_CS_HLLH.txt,3,Riley Cooper,White,Nonbinary,CS,high,low,low,high
resume_03_CS_HLLL.txt,3,Riley Cooper,White,Nonbinary,CS,high,low,low,low
resume_03_CS_LHHH.txt,3,Riley Cooper,White,Nonbinary,CS,low,high,high,high
resume_03_CS_LHHL.txt,3,Riley Cooper,White,Nonbinary,CS,low,high,high,low
resume_03_CS_LHLH.txt,3,Riley Cooper,White,Nonbinary,CS,low,high,low,high
resume_03_CS_LHLL.txt,3,Riley Cooper,White,Nonbinary,CS,low,high,low,low
resume_03_CS_LLHH.txt,3,Riley Cooper,White,Nonbinary,CS,low,low,high,high
resume_03_CS_LLHL.txt,3,Riley Cooper,White,Nonbinary,CS,low,low,high,low
resume_03_CS_LLLH.txt,3,Riley Cooper,White,Nonbinary,CS,low,low,low,high
resume_03_CS_LLLL.txt,3,Riley Cooper,White,Nonbinary,CS,low,low,low,low
resume_03_English_HHHH.txt,3,Riley Cooper,White,Nonbinary,English,high,high,high,high
resume_03_English_HHHL.txt,3,Riley Cooper,White,Nonbinary,English,high,high,high,low
resume_03_English_HHLH.txt,3,Riley Cooper,White,Nonbinary,English,high,high,low,high
resume_03_English_HHLL.txt,3,Riley Cooper,White,Nonbinary,English,high,high,low,low
resume_03_English_HLHH.txt,3,Riley Cooper,White,Nonbinary,English,high,low,high,high
resume_03_English_HLHL.txt,3,Riley Cooper,White,Nonbinary,English,high,low,high,low
resume_03_English_HLLH.txt,3,Riley Cooper,White,Nonbinary,English,high,low,low,high
resume_03_English_HLLL.txt,3,Riley Cooper,White,Nonbinary,English,high,low,low,low
resume_03_English_LHHH.txt,3,Riley Cooper,White,Nonbinary,English,low,high,high,high
resume_03_English_LHHL.txt,3,Riley Cooper,White,Nonbinary,English,low,high,high,low
resume_03_English_LHLH.txt,3,Riley Cooper,White,Nonbinary,English,low,high,low,high
resume_03_English_LHLL.txt,3,Riley Cooper,White,Nonbinary,English,low,high,low,low
resume_03_English_LLHH.txt,3,Riley Cooper,White,Nonbinary,English,low,low,high,high
resume_03_English_LLHL.txt,3,Riley Cooper,White,Nonbinary,English,low,low,high,low
resume_03_English_LLLH.txt,3,Riley Cooper,White,Nonbinary,English,low,low,low,high
resume_03_English_LLLL.txt,3,Riley Cooper,White,Nonbinary,English,low,low,low,low
resume_04_CS_HHHH.txt,4,Lakisha Washington,Black,Female,CS,high,high,high,high
resume_04_CS_HHHL.txt,4,Lakisha Washington,Black,Female,CS,high,high,high,low
resume_04_CS_HHLH.txt,4,Lakisha Washington,Black,Female,CS,high,high,low,high
resume_04_CS_HHLL.txt,4,Lakisha Washington,Black,Female,CS,high,high,low,low
resume_04_CS_HLHH.txt,4,Lakisha Washington,Black,Female,CS,high,low,high,high
resume_04_CS_HLHL.txt,4,Lakisha Washington,Black,Female,CS,high,low,high,low
resume_04_CS_HLLH.txt,4,Lakisha Washington,Black,Female,CS,high,low,low,high
resume_04_CS_HLLL.txt,4,Lakisha Washington,Black,Female,CS,high,low,low,low
resume_04_CS_LHHH.txt,4,Lakisha Washington,Black,Female,CS,low,high,high,high
resume_04_CS_LHHL.txt,4,Lakisha Washington,Black,Female,CS,low,high,high,low
resume_04_CS_LHLH.txt,4,Lakisha Washington,Black,Female,CS,low,high,low,high
resume_04_CS_LHLL.txt,4,Lakisha Washington,Black,Female,CS,low,high,low,low
resume_04_CS_LLHH.txt,4,Lakisha Washington,Black,Female,CS,low,low,high,high
resume_04_CS_LLHL.txt,4,Lakisha Washington,Black,Female,CS,low,low,high,low
resume_04_CS_LLLH.txt,4,Lakisha Washington,Black,Female,CS,low,low,low,high
resume_04_CS_LLLL.txt,4,Lakisha Washington,Black,Female,CS,low,low,low,low
resume_04_English_HHHH.txt,4,Lakisha Washington,Black,Female,English,high,high,high,high
resume_04_English_HHHL.txt,4,Lakisha Washington,Black,Female,English,high,high,high,low
resume_04_English_HHLH.txt,4,Lakisha Washington,Black,Female,English,high,high,low,high
resume_04_English_HHLL.txt,4,Lakisha Washington,Black,Female,English,high,high,low,low
resume_04_English_HLHH.txt,4,Lakisha Washington,Black,Female,English,high,low,high,high
resume_04_English_HLHL.txt,4,Lakisha Washington,Black,Female,English,high,low,high,low
resume_04_English_HLLH.txt,4,Lakisha Washington,Black,Female,English,high,low,low,high
resume_04_English_HLLL.txt,4,Lakisha Washington,Black,Female,English,high,low,low,low
resume_04_English_LHHH.txt,4,Lakisha Washington,Black,Female,English,low,high,high,high
resume_04_English_LHHL.txt,4,Lakisha Washington,Black,Female,English,low,high,high,low
resume_04_English_LHLH.txt,4,Lakisha Washington,Black,Female,English,low,high,low,high
resume_04_English_LHLL.txt,4,Lakisha Washington,Black,Female,English,low,high,low,low
resume_04_English_LLHH.txt,4,Lakisha Washington,Black,Female,English,low,low,high,high
resume_04_English_LLHL.txt,4,Lakisha Washington,Black,Female,English,low,low,high,low
resume_04_English_LLLH.txt,4,Lakisha Washington,Black,Female,English,low,low,low,high
resume_04_English_LLLL.txt,4,Lakisha Washington,Black,Female,English,low,low,low,low
resume_05_CS_HHHH.txt,5,Jamal Jackson,Black,Male,CS,high,high,high,high
resume_05_CS_HHHL.txt,5,Jamal Jackson,Black,Male,CS,high,high,high,low
resume_05_CS_HHLH.txt,5,Jamal Jackson,Black,Male,CS,high,high,low,high
resume_05_CS_HHLL.txt,5,Jamal Jackson,Black,Male,CS,high,high,low,low
resume_05_CS_HLHH.txt,5,Jamal Jackson,Black,Male,CS,high,low,high,high
resume_05_CS_HLHL.txt,5,Jamal Jackson,Black,Male,CS,high,low,high,low
resume_05_CS_HLLH.txt,5,Jamal Jackson,Black,Male,CS,high,low,low,high
resume_05_CS_HLLL.txt,5,Jamal Jackson,Black,Male,CS,high,low,low,low
resume_05_CS_LHHH.txt,5,Jamal Jackson,Black,Male,CS,low,high,high,high
resume_05_CS_LHHL.txt,5,Jamal Jackson,Black,Male,CS,low,high,high,low
resume_05_CS_LHLH.txt,5,Jamal Jackson,Black,Male,CS,low,high,low,high
resume_05_CS_LHLL.txt,5,Jamal Jackson,Black,Male,CS,low,high,low,low
resume_05_CS_LLHH.txt,5,Jamal Jackson,Black,Male,CS,low,low,high,high
